"Season","Sprite","Variant","Rarity","State","Disabled","Available"
"Override","Jackrabbit","Base","Legendary","not-found","no","yes"
"Override","Jackrabbit","Gold","Special","not-found","no","yes"
"Override","Jackrabbit","Cheat Master","Special","not-found","no","yes"
"Override","Jackrabbit","Loot Hacker","Special","not-found","no","yes"
"Override","Shadow","Base","Epic","not-found","no","yes"
"Override","Shadow","Gold","Special","not-found","no","yes"
"Override","Shadow","Cheat Master","Special","not-found","no","yes"
"Override","Shadow","Loot Hacker","Special","not-found","no","yes"
"Override","Bush","Base","Rare","not-found","no","yes"
"Override","Bush","Gold","Special","not-found","no","yes"
"Override","Bush","Cheat Master","Special","not-found","no","yes"
"Override","Bush","Loot Hacker","Special","not-found","no","yes"
"Override","Tails","Base","Epic","not-found","no","yes"
"Override","Tails","Gold","Special","not-found","no","yes"
"Override","Tails","Cheat Master","Special","not-found","no","yes"
"Override","Tails","Loot Hacker","Special","not-found","no","yes"
"Override","Killswitch","Base","Epic","not-found","no","yes"
"Override","Killswitch","Gold","Special","not-found","no","yes"
"Override","Killswitch","Cheat Master","Special","not-found","no","yes"
"Override","Killswitch","Loot Hacker","Special","not-found","no","yes"
"Override","Adventure","Base","Rare","not-found","no","yes"
"Override","Adventure","Gold","Special","not-found","no","yes"
"Override","Adventure","Cheat Master","Special","not-found","no","yes"
"Override","Adventure","Loot Hacker","Special","not-found","no","yes"
"Override","Klombo","Base","Mythic","not-found","no","yes"
"Override","Klombo","Gold","Special","not-found","no","yes"
"Override","Klombo","Cheat Master","Special","not-found","no","yes"
"Override","Klombo","Loot Hacker","Special","not-found","no","yes"
"Override","Jonesy","Base","Rare","not-found","no","yes"
"Override","Jonesy","Gold","Special","not-found","no","yes"
"Override","Jonesy","Cheat Master","Special","not-found","no","yes"
"Override","Jonesy","Loot Hacker","Special","not-found","no","yes"
"Override","Sonic","Base","Epic","not-found","no","yes"
"Override","Sonic","Gold","Special","not-found","no","yes"
"Override","Sonic","Cheat Master","Special","not-found","no","yes"
"Override","Sonic","Loot Hacker","Special","not-found","no","yes"
"Override","Crown","Base","Mythic","not-found","no","yes"
"Override","Crown","Gold","Special","not-found","no","yes"
"Override","Crown","Cheat Master","Special","not-found","no","yes"
"Override","Crown","Loot Hacker","Special","not-found","no","yes"
"Override","8-Bit","Base","Rare","not-found","no","yes"
"Override","8-Bit","Gold","Special","not-found","no","yes"
"Override","8-Bit","Cheat Master","Special","not-found","no","yes"
"Override","8-Bit","Loot Hacker","Special","not-found","no","yes"
"Override","Storm Scout","Base","Rare","not-found","no","yes"
"Override","Storm Scout","Gold","Special","not-found","no","yes"
"Override","Storm Scout","Cheat Master","Special","not-found","no","yes"
"Override","Storm Scout","Loot Hacker","Special","not-found","no","yes"
"Override","Mega Man","Base","Rare","not-found","no","yes"
"Override","Mega Man","Gold","N/A","not-found","no","no"
"Override","Mega Man","Cheat Master","N/A","not-found","no","no"
"Override","Mega Man","Loot Hacker","N/A","not-found","no","no"
"Override","Overshield","Base","Rare","not-found","no","yes"
"Override","Overshield","Gold","Special","not-found","no","yes"
"Override","Overshield","Cheat Master","Special","not-found","no","yes"
"Override","Overshield","Loot Hacker","Special","not-found","no","yes"
"Override","X-Ray","Base","Rare","not-found","no","yes"
"Override","X-Ray","Gold","Special","not-found","no","yes"
"Override","X-Ray","Cheat Master","Special","not-found","no","yes"
"Override","X-Ray","Loot Hacker","Special","not-found","no","yes"
"Override","Onigiri","Base","Rare","not-found","no","yes"
"Override","Onigiri","Gold","Special","not-found","no","yes"
"Override","Onigiri","Cheat Master","Special","not-found","no","yes"
"Override","Onigiri","Loot Hacker","Special","not-found","no","yes"
