"Season","Sprite","Variant","Rarity","State","Disabled","Available"
"Runners Archive","John Wick","Base","Mythic","found","no","yes"
"Runners Archive","John Wick","Gold","N/A","not-found","no","no"
"Runners Archive","John Wick","Gummy","N/A","not-found","no","no"
"Runners Archive","John Wick","Galaxy","N/A","not-found","no","no"
"Runners Archive","John Wick","Holofoil","N/A","not-found","no","no"
"Runners Archive","John Wick","Cube","N/A","not-found","no","no"
"Runners Archive","John Wick","Gem","N/A","not-found","no","no"
"Runners Archive","John Wick","Quack","N/A","not-found","no","no"
"Runners Archive","Batman","Base","Mythic","mastered","no","yes"
"Runners Archive","Batman","Gold","Special","found","no","yes"
"Runners Archive","Batman","Gummy","Special","mastered","no","yes"
"Runners Archive","Batman","Galaxy","Special","found","no","yes"
"Runners Archive","Batman","Holofoil","Special","found","no","yes"
"Runners Archive","Batman","Cube","Special","not-found","no","yes"
"Runners Archive","Batman","Gem","N/A","not-found","no","no"
"Runners Archive","Batman","Quack","N/A","not-found","no","no"
"Runners Archive","Water","Base","Rare","not-found","no","yes"
"Runners Archive","Water","Gold","Special","not-found","no","yes"
"Runners Archive","Water","Gummy","Special","not-found","no","yes"
"Runners Archive","Water","Galaxy","Special","not-found","no","yes"
"Runners Archive","Water","Holofoil","Special","not-found","no","yes"
"Runners Archive","Water","Cube","N/A","not-found","no","no"
"Runners Archive","Water","Gem","Special","not-found","no","yes"
"Runners Archive","Water","Quack","Special","not-found","no","yes"
"Runners Archive","Earth","Base","Rare","not-found","no","yes"
"Runners Archive","Earth","Gold","Special","not-found","no","yes"
"Runners Archive","Earth","Gummy","Special","found","no","yes"
"Runners Archive","Earth","Galaxy","Special","found","no","yes"
"Runners Archive","Earth","Holofoil","N/A","not-found","no","no"
"Runners Archive","Earth","Cube","Special","not-found","no","yes"
"Runners Archive","Earth","Gem","Special","not-found","no","yes"
"Runners Archive","Earth","Quack","Special","not-found","no","yes"
"Runners Archive","Fire","Base","Rare","not-found","no","yes"
"Runners Archive","Fire","Gold","Special","found","no","yes"
"Runners Archive","Fire","Gummy","Special","not-found","no","yes"
"Runners Archive","Fire","Galaxy","Special","not-found","no","yes"
"Runners Archive","Fire","Holofoil","Special","not-found","no","yes"
"Runners Archive","Fire","Cube","Special","not-found","no","yes"
"Runners Archive","Fire","Gem","N/A","not-found","no","no"
"Runners Archive","Fire","Quack","Special","not-found","no","yes"
"Runners Archive","Duck","Base","Epic","not-found","no","yes"
"Runners Archive","Duck","Gold","Special","not-found","no","yes"
"Runners Archive","Duck","Gummy","Special","not-found","no","yes"
"Runners Archive","Duck","Galaxy","Special","found","no","yes"
"Runners Archive","Duck","Holofoil","Special","not-found","no","yes"
"Runners Archive","Duck","Cube","N/A","not-found","no","no"
"Runners Archive","Duck","Gem","Special","not-found","no","yes"
"Runners Archive","Duck","Quack","N/A","not-found","no","no"
"Runners Archive","Ghost","Base","Epic","not-found","no","yes"
"Runners Archive","Ghost","Gold","Special","not-found","no","yes"
"Runners Archive","Ghost","Gummy","Special","not-found","no","yes"
"Runners Archive","Ghost","Galaxy","Special","not-found","no","yes"
"Runners Archive","Ghost","Holofoil","Special","not-found","no","yes"
"Runners Archive","Ghost","Cube","N/A","not-found","no","no"
"Runners Archive","Ghost","Gem","N/A","not-found","no","no"
"Runners Archive","Ghost","Quack","N/A","not-found","no","no"
"Runners Archive","Dream","Base","Legendary","not-found","no","yes"
"Runners Archive","Dream","Gold","Special","not-found","no","yes"
"Runners Archive","Dream","Gummy","Special","not-found","no","yes"
"Runners Archive","Dream","Galaxy","Special","not-found","no","yes"
"Runners Archive","Dream","Holofoil","N/A","not-found","no","no"
"Runners Archive","Dream","Cube","Special","not-found","no","yes"
"Runners Archive","Dream","Gem","N/A","not-found","no","no"
"Runners Archive","Dream","Quack","N/A","not-found","no","no"
"Runners Archive","Demon","Base","Epic","not-found","no","yes"
"Runners Archive","Demon","Gold","Special","not-found","no","yes"
"Runners Archive","Demon","Gummy","Special","found","no","yes"
"Runners Archive","Demon","Galaxy","Special","not-found","no","yes"
"Runners Archive","Demon","Holofoil","N/A","not-found","no","no"
"Runners Archive","Demon","Cube","N/A","not-found","no","no"
"Runners Archive","Demon","Gem","Special","not-found","no","yes"
