"Season","Sprite","Variant","Rarity","State","Disabled","Available"
"Override","Jackrabbit","Base","Legendary","not-found","no","yes"
"Override","Jackrabbit","Gold","Special","not-found","no","yes"
"Override","Jackrabbit","Cheat Master","Special","not-found","no","yes"
"Override","Jackrabbit","Loot Hacker","Special","not-found","no","yes"
"Override","Shadow","Base","Epic","not-found","no","yes"
"Override","Shadow","Gold","Special","not-found","no","yes"
"Override","Shadow","Cheat Master","Special","not-found","no","yes"
"Override","Shadow","Loot Hacker","Special","not-found","no","yes"
"Override","Bush","Base","Rare","not-found","no","yes"
"Override","Bush","Gold","Special","not-found","no","yes"
"Override","Bush","Cheat Master","Special","not-found","no","yes"
"Override","Bush","Loot Hacker","Special","not-found","no","yes"
"Override","Tails","Base","Epic","not-found","no","yes"
"Override","Tails","Gold","Special","not-found","no","yes"
"Override","Tails","Cheat Master","Special","not-found","no","yes"
"Override","Tails","Loot Hacker","Special","not-found","no","yes"
"Override","Killswitch","Base","Epic","not-found","no","yes"
"Override","Killswitch","Gold","Special","not-found","no","yes"
"Override","Killswitch","Cheat Master","Special","not-found","no","yes"
"Override","Killswitch","Loot Hacker","Special","not-found","no","yes"
"Override","Adventure","Base","Rare","not-found","no","yes"
"Override","Adventure","Gold","Special","not-found","no","yes"
"Override","Adventure","Cheat Master","Special","not-found","no","yes"
"Override","Adventure","Loot Hacker","Special","not-found","no","yes"
"Override","Klombo","Base","Mythic","not-found","no","yes"
"Override","Klombo","Gold","Special","not-found","no","yes"
"Override","Klombo","Cheat Master","Special","not-found","no","yes"
"Override","Klombo","Loot Hacker","Special","not-found","no","yes"
"Override","Jonesy","Base","Rare","not-found","no","yes"
"Override","Jonesy","Gold","Special","not-found","no","yes"
"Override","Jonesy","Cheat Master","Special","not-found","no","yes"
"Override","Jonesy","Loot Hacker","Special","not-found","no","yes"
"Override","Sonic","Base","Epic","not-found","no","yes"
"Override","Sonic","Gold","Special","not-found","no","yes"
"Override","Sonic","Cheat Master","Special","not-found","no","yes"
"Override","Sonic","Loot Hacker","Special","not-found","no","yes"
"Override","Crown","Base","Mythic","not-found","no","yes"
"Override","Crown","Gold","Special","not-found","no","yes"
"Override","Crown","Cheat Master","Special","not-found","no","yes"
"Override","Crown","Loot Hacker","Special","not-found","no","yes"
"Override","8-Bit","Base","Rare","not-found","no","yes"
"Override","8-Bit","Gold","Special","not-found","no","yes"
"Override","8-Bit","Cheat Master","Special","not-found","no","yes"
"Override","8-Bit","Loot Hacker","Special","not-found","no","yes"
"Override","Storm Scout","Base","Rare","not-found","no","yes"
"Override","Storm Scout","Gold","Special","not-found","no","yes"
"Override","Storm Scout","Cheat Master","Special","not-found","no","yes"
"Override","Storm Scout","Loot Hacker","Special","not-found","no","yes"
"Override","Mega Man","Base","Rare","not-found","no","yes"
"Override","Mega Man","Gold","N/A","not-found","no","no"
"Override","Mega Man","Cheat Master","N/A","not-found","no","no"
"Override","Mega Man","Loot Hacker","N/A","not-found","no","no"
"Override","Overshield","Base","Rare","not-found","no","yes"
"Override","Overshield","Gold","Special","not-found","no","yes"
"Override","Overshield","Cheat Master","Special","not-found","no","yes"
"Override","Overshield","Loot Hacker","Special","not-found","no","yes"
"Override","X-Ray","Base","Rare","not-found","no","yes"
"Override","X-Ray","Gold","Special","not-found","no","yes"
"Override","X-Ray","Cheat Master","Special","not-found","no","yes"
"Override","X-Ray","Loot Hacker","Special","not-found","no","yes"
"Override","Onigiri","Base","Rare","not-found","no","yes"
"Override","Onigiri","Gold","Special","not-found","no","yes"
"Override","Onigiri","Cheat Master","Special","not-found","no","yes"
"Override","Onigiri","Loot Hacker","Special","not-found","no","yes"
"Override","Birthday","Base","Rare","not-found","no","yes"
"Override","Birthday","Gold","Special","not-found","no","yes"
"Override","Birthday","Cheat Master","Special","not-found","no","yes"
"Override","Birthday","Loot Hacker","Special","not-found","no","yes"
"Override","Birthday","Bounty","Special","not-found","no","yes"
"Override","Blinky","Base","Legendary","not-found","no","yes"
"Override","Blinky","Gold","Special","not-found","no","yes"
"Override","Blinky","Cheat Master","Special","not-found","no","yes"
"Override","Blinky","Loot Hacker","Special","not-found","no","yes"
"Override","Blinky","Bounty","Special","not-found","no","yes"
"Override","Crash","Base","Legendary","not-found","no","yes"
"Override","Crash","Gold","Special","not-found","no","yes"
"Override","Crash","Cheat Master","Special","not-found","no","yes"
"Override","Crash","Loot Hacker","Special","not-found","no","yes"
"Override","Crash","Bounty","Special","not-found","no","yes"
"Override","Morgana","Base","Rare","not-found","no","yes"
"Override","Morgana","Gold","Special","not-found","no","yes"
"Override","Morgana","Cheat Master","Special","not-found","no","yes"
"Override","Morgana","Loot Hacker","Special","not-found","no","yes"
"Override","Morgana","Bounty","Special","not-found","no","yes"
"Override","Pond","Base","Epic","not-found","no","yes"
"Override","Pond","Gold","Special","not-found","no","yes"
"Override","Pond","Cheat Master","Special","not-found","no","yes"
"Override","Pond","Loot Hacker","Special","not-found","no","yes"
"Override","Pond","Bounty","Special","not-found","no","yes"
"Override","Dumpster","Base","Rare","not-found","no","yes"
"Override","Honey","Base","Rare","not-found","no","yes"
"Override","8-Bit","Bounty","Special","not-found","no","yes"
"Override","Adventure","Bounty","Special","not-found","no","yes"
"Override","Bush","Bounty","Special","not-found","no","yes"
"Override","Crown","Bounty","Special","not-found","no","yes"
"Override","Jackrabbit","Bounty","Special","not-found","no","yes"
"Override","Jonesy","Bounty","Special","not-found","no","yes"
"Override","Killswitch","Bounty","Special","not-found","no","yes"
"Override","Klombo","Bounty","Special","not-found","no","yes"
"Override","Onigiri","Bounty","Special","not-found","no","yes"
"Override","Overshield","Bounty","Special","not-found","no","yes"
"Override","Shadow","Bounty","Special","not-found","no","yes"
"Override","Sonic","Bounty","Special","not-found","no","yes"
"Override","Storm Scout","Bounty","Special","not-found","no","yes"
"Override","Tails","Bounty","Special","not-found","no","yes"
"Override","X-Ray","Bounty","Special","not-found","no","yes"
"Runners Archive","John Wick","Base","Mythic","not-found","no","yes"
"Runners Archive","John Wick","Gold","N/A","not-found","no","no"
"Runners Archive","John Wick","Gummy","N/A","not-found","no","no"
"Runners Archive","John Wick","Galaxy","N/A","not-found","no","no"
"Runners Archive","John Wick","Holofoil","N/A","not-found","no","no"
"Runners Archive","John Wick","Cube","N/A","not-found","no","no"
"Runners Archive","John Wick","Gem","N/A","not-found","no","no"
"Runners Archive","John Wick","Quack","N/A","not-found","no","no"
"Runners Archive","Batman","Base","Mythic","not-found","no","yes"
"Runners Archive","Batman","Gold","Special","not-found","no","yes"
"Runners Archive","Batman","Gummy","Special","not-found","no","yes"
"Runners Archive","Batman","Galaxy","Special","not-found","no","yes"
"Runners Archive","Batman","Holofoil","Special","not-found","no","yes"
"Runners Archive","Batman","Cube","Special","not-found","no","yes"
"Runners Archive","Batman","Gem","N/A","not-found","no","no"
"Runners Archive","Batman","Quack","N/A","not-found","no","no"
"Runners Archive","Water","Base","Rare","not-found","no","yes"
"Runners Archive","Water","Gold","Special","not-found","no","yes"
"Runners Archive","Water","Gummy","Special","not-found","no","yes"
"Runners Archive","Water","Galaxy","Special","not-found","no","yes"
"Runners Archive","Water","Holofoil","Special","not-found","no","yes"
"Runners Archive","Water","Cube","N/A","not-found","no","no"
"Runners Archive","Water","Gem","Special","not-found","no","yes"
"Runners Archive","Water","Quack","Special","not-found","no","yes"
"Runners Archive","Earth","Base","Rare","not-found","no","yes"
"Runners Archive","Earth","Gold","Special","not-found","no","yes"
"Runners Archive","Earth","Gummy","Special","not-found","no","yes"
"Runners Archive","Earth","Galaxy","Special","not-found","no","yes"
"Runners Archive","Earth","Holofoil","N/A","not-found","no","no"
"Runners Archive","Earth","Cube","Special","not-found","no","yes"
"Runners Archive","Earth","Gem","Special","not-found","no","yes"
"Runners Archive","Earth","Quack","Special","not-found","no","yes"
"Runners Archive","Fire","Base","Rare","not-found","no","yes"
"Runners Archive","Fire","Gold","Special","not-found","no","yes"
"Runners Archive","Fire","Gummy","Special","not-found","no","yes"
"Runners Archive","Fire","Galaxy","Special","not-found","no","yes"
"Runners Archive","Fire","Holofoil","Special","not-found","no","yes"
"Runners Archive","Fire","Cube","Special","not-found","no","yes"
"Runners Archive","Fire","Gem","N/A","not-found","no","no"
"Runners Archive","Fire","Quack","Special","not-found","no","yes"
"Runners Archive","Duck","Base","Epic","not-found","no","yes"
"Runners Archive","Duck","Gold","Special","not-found","no","yes"
"Runners Archive","Duck","Gummy","Special","not-found","no","yes"
"Runners Archive","Duck","Galaxy","Special","not-found","no","yes"
"Runners Archive","Duck","Holofoil","Special","not-found","no","yes"
"Runners Archive","Duck","Cube","Special","not-found","no","yes"
"Runners Archive","Duck","Gem","Special","not-found","no","yes"
"Runners Archive","Duck","Quack","N/A","not-found","no","no"
"Runners Archive","Ghost","Base","Epic","not-found","no","yes"
"Runners Archive","Ghost","Gold","Special","not-found","no","yes"
"Runners Archive","Ghost","Gummy","Special","not-found","no","yes"
"Runners Archive","Ghost","Galaxy","Special","not-found","no","yes"
"Runners Archive","Ghost","Holofoil","Special","not-found","no","yes"
"Runners Archive","Ghost","Cube","N/A","not-found","no","no"
"Runners Archive","Ghost","Gem","N/A","not-found","no","no"
"Runners Archive","Ghost","Quack","N/A","not-found","no","no"
"Runners Archive","Dream","Base","Legendary","not-found","no","yes"
"Runners Archive","Dream","Gold","Special","not-found","no","yes"
"Runners Archive","Dream","Gummy","Special","not-found","no","yes"
"Runners Archive","Dream","Galaxy","Special","not-found","no","yes"
"Runners Archive","Dream","Holofoil","N/A","not-found","no","no"
"Runners Archive","Dream","Cube","Special","not-found","no","yes"
"Runners Archive","Dream","Gem","N/A","not-found","no","no"
"Runners Archive","Dream","Quack","N/A","not-found","no","no"
"Runners Archive","Demon","Base","Epic","not-found","no","yes"
"Runners Archive","Demon","Gold","Special","not-found","no","yes"
"Runners Archive","Demon","Gummy","Special","not-found","no","yes"
"Runners Archive","Demon","Galaxy","Special","not-found","no","yes"
"Runners Archive","Demon","Holofoil","Special","not-found","no","yes"
"Runners Archive","Demon","Cube","Special","not-found","no","yes"
"Runners Archive","Demon","Gem","Special","not-found","no","yes"
"Runners Archive","Demon","Quack","N/A","not-found","no","no"
"Runners Archive","Punk","Base","Legendary","not-found","no","yes"
"Runners Archive","Punk","Gold","Special","not-found","no","yes"
"Runners Archive","Punk","Gummy","Special","not-found","no","yes"
"Runners Archive","Punk","Galaxy","Special","not-found","no","yes"
"Runners Archive","Punk","Holofoil","Special","not-found","no","yes"
"Runners Archive","Punk","Cube","Special","not-found","no","yes"
"Runners Archive","Punk","Gem","Special","not-found","no","yes"
"Runners Archive","Punk","Quack","N/A","not-found","no","no"
"Runners Archive","King","Base","Epic","not-found","no","yes"
"Runners Archive","King","Gold","Special","not-found","no","yes"
"Runners Archive","King","Gummy","Special","not-found","no","yes"
"Runners Archive","King","Galaxy","Special","not-found","no","yes"
"Runners Archive","King","Holofoil","Special","not-found","no","yes"
"Runners Archive","King","Cube","Special","not-found","no","yes"
"Runners Archive","King","Gem","Special","not-found","no","yes"
"Runners Archive","King","Quack","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Base","Mythic","not-found","no","yes"
"Runners Archive","Burnt Peanut","Gold","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Gummy","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Galaxy","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Holofoil","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Cube","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Gem","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Quack","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Base","Mythic","not-found","no","yes"
"Runners Archive","Vini Jr","Gold","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Gummy","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Galaxy","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Holofoil","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Cube","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Gem","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Quack","N/A","not-found","no","no"
"Runners Archive","Zero Point","Base","Mythic","not-found","no","yes"
"Runners Archive","Zero Point","Gold","Special","not-found","no","yes"
"Runners Archive","Zero Point","Gummy","Special","not-found","no","yes"
"Runners Archive","Zero Point","Galaxy","Special","not-found","no","yes"
"Runners Archive","Zero Point","Holofoil","Special","not-found","no","yes"
"Runners Archive","Zero Point","Cube","Special","not-found","no","yes"
"Runners Archive","Zero Point","Gem","Special","not-found","no","yes"
"Runners Archive","Zero Point","Quack","Special","not-found","no","yes"
"Runners Archive","Fishy","Base","Rare","not-found","no","yes"
"Runners Archive","Fishy","Gold","Special","not-found","no","yes"
"Runners Archive","Fishy","Gummy","Special","not-found","no","yes"
"Runners Archive","Fishy","Galaxy","Special","not-found","no","yes"
"Runners Archive","Fishy","Holofoil","N/A","not-found","no","no"
"Runners Archive","Fishy","Cube","Special","not-found","no","yes"
"Runners Archive","Fishy","Gem","N/A","not-found","no","no"
"Runners Archive","Fishy","Quack","N/A","not-found","no","no"
"Runners Archive","Striker","Base","Epic","not-found","no","yes"
"Runners Archive","Striker","Gold","Special","not-found","no","yes"
"Runners Archive","Striker","Gummy","Special","not-found","no","yes"
"Runners Archive","Striker","Galaxy","Special","not-found","no","yes"
